Subscriber Reference,Subscriber Base URL,Publisher Base URL,Vessel IMO Number
HLC-HPA-9786152,https://hapag-lloyd.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9786152
HLC-HVCC-9786152,https://hapag-lloyd.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9786152
HLC-HPA-9349497,https://hapag-lloyd.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9349497
HLC-HVCC-9349497,https://hapag-lloyd.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9349497
CMA-HPA-9839155,https://cma-cgm.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9839155
CMA-HVCC-9839155,https://cma-cgm.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9839155
CMA-HPA-9372872,https://cma-cgm.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9372872
CMA-HVCC-9372872,https://cma-cgm.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9372872
CMA-HPA-9839210,https://cma-cgm.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9839210
CMA-HVCC-9839210,https://cma-cgm.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9839210
CMA-HPA-9690107,https://cma-cgm.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9690107
CMA-HVCC-9690107,https://cma-cgm.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9690107
CMA-HPA-9839179,https://cma-cgm.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9839179
CMA-HVCC-9839179,https://cma-cgm.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9839179
CMA-HPA-9344708,https://cma-cgm.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9344708
CMA-HVCC-9344708,https://cma-cgm.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9344708
EMC-HPA-9820855,https://evergreen-marine.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9820855
EMC-HVCC-9820855,https://evergreen-marine.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9820855
EMC-HPA-9667150,https://evergreen-marine.{{baseurl}},https://hamburg-port-authority.{{baseurl}},9667150
EMC-HVCC-9667150,https://evergreen-marine.{{baseurl}},https://hvcc-hamburg.{{baseurl}},9667150
HVCC-HLC-9786152,https://hvcc-hamburg.{{baseurl}},https://hapag-lloyd.{{baseurl}},9786152
HPA-HLC-9786152,https://hamburg-port-authority.{{baseurl}},https://hapag-lloyd.{{baseurl}},9786152
HVCC-HLC-9349497,https://hvcc-hamburg.{{baseurl}},https://hapag-lloyd.{{baseurl}},9349497
HPA-HLC-9349497,https://hamburg-port-authority.{{baseurl}},https://hapag-lloyd.{{baseurl}},9349497
HVCC-CMA-9839155,https://hvcc-hamburg.{{baseurl}},https://cma-cgm.{{baseurl}},9839155
HPA-CMA-9839155,https://hamburg-port-authority.{{baseurl}},https://cma-cgm.{{baseurl}},9839155
HVCC-CMA-9372872,https://hvcc-hamburg.{{baseurl}},https://cma-cgm.{{baseurl}},9372872
HPA-CMA-9372872,https://hamburg-port-authority.{{baseurl}},https://cma-cgm.{{baseurl}},9372872
HVCC-CMA-9839210,https://hvcc-hamburg.{{baseurl}},https://cma-cgm.{{baseurl}},9839210
HPA-CMA-9839210,https://hamburg-port-authority.{{baseurl}},https://cma-cgm.{{baseurl}},9839210
HVCC-CMA-9690107,https://hvcc-hamburg.{{baseurl}},https://cma-cgm.{{baseurl}},9690107
HPA-CMA-9690107,https://hamburg-port-authority.{{baseurl}},https://cma-cgm.{{baseurl}},9690107
HVCC-CMA-9839179,https://hvcc-hamburg.{{baseurl}},https://cma-cgm.{{baseurl}},9839179
HPA-CMA-9839179,https://hamburg-port-authority.{{baseurl}},https://cma-cgm.{{baseurl}},9839179
HVCC-CMA-9344708,https://hvcc-hamburg.{{baseurl}},https://cma-cgm.{{baseurl}},9344708
HPA-CMA-9344708,https://hamburg-port-authority.{{baseurl}},https://cma-cgm.{{baseurl}},9344708
HVCC-EMC-9820855,https://hvcc-hamburg.{{baseurl}},https://evergreen-marine.{{baseurl}},9820855
HPA-EMC-9820855,https://hamburg-port-authority.{{baseurl}},https://evergreen-marine.{{baseurl}},9820855
HVCC-EMC-9667150,https://hvcc-hamburg.{{baseurl}},https://evergreen-marine.{{baseurl}},9667150
HPA-EMC-9667150,https://hamburg-port-authority.{{baseurl}},https://evergreen-marine.{{baseurl}},9667150
DCSA-ALL,https://dcsa.{{baseurl}},https://hvcc-hamburg.{{baseurl}},
