Subscriber Reference,Subscriber Base URL,Publisher Base URL,Vessel IMO Number
YML-9684653,https://yangming.{{baseurl}},https://psa.{{baseurl}},9684653
YML-9684677,https://yangming.{{baseurl}},https://psa.{{baseurl}},9684677
ONE-9302152,https://one-line.{{baseurl}},https://psa.{{baseurl}},9302152
ONE-9312810,https://one-line.{{baseurl}},https://psa.{{baseurl}},9312810
ONE-9302138,https://one-line.{{baseurl}},https://psa.{{baseurl}},9302138
ONE-9312781,https://one-line.{{baseurl}},https://psa.{{baseurl}},9312781
ONE-9313008,https://one-line.{{baseurl}},https://psa.{{baseurl}},9313008
ONE-9312793,https://one-line.{{baseurl}},https://psa.{{baseurl}},9312793
ONE-9312793,https://one-line.{{baseurl}},https://psa.{{baseurl}},9312793
CMA-9776418,https://cma-cgm.{{baseurl}},https://psa.{{baseurl}},9776418
CMA-9839193,https://cma-cgm.{{baseurl}},https://psa.{{baseurl}},9839193
CMA-9706906,https://cma-cgm.{{baseurl}},https://psa.{{baseurl}},9706906
CMA-9839208,https://cma-cgm.{{baseurl}},https://psa.{{baseurl}},9839208
CMA-9839181,https://cma-cgm.{{baseurl}},https://psa.{{baseurl}},9839181
EMC-9737462,https://evergreen-marine.{{baseurl}},https://psa.{{baseurl}},9737462
EMC-9786827,https://evergreen-marine.{{baseurl}},https://psa.{{baseurl}},9786827
EMC-9667186,https://evergreen-marine.{{baseurl}},https://psa.{{baseurl}},9667186
EMC-9665592,https://evergreen-marine.{{baseurl}},https://psa.{{baseurl}},9665592
PSA-9684653,https://psa.{{baseurl}},https://yangming.{{baseurl}},9684653
PSA-9684677,https://psa.{{baseurl}},https://yangming.{{baseurl}},9684677
PSA-9302152,https://psa.{{baseurl}},https://one-line.{{baseurl}},9302152
PSA-9312810,https://psa.{{baseurl}},https://one-line.{{baseurl}},9312810
PSA-9302138,https://psa.{{baseurl}},https://one-line.{{baseurl}},9302138
PSA-9312781,https://psa.{{baseurl}},https://one-line.{{baseurl}},9312781
PSA-9313008,https://psa.{{baseurl}},https://one-line.{{baseurl}},9313008
PSA-9312793,https://psa.{{baseurl}},https://one-line.{{baseurl}},9312793
PSA-9312793,https://psa.{{baseurl}},https://one-line.{{baseurl}},9312793
PSA-9776418,https://psa.{{baseurl}},https://cma-cgm.{{baseurl}},9776418
PSA-9839193,https://psa.{{baseurl}},https://cma-cgm.{{baseurl}},9839193
PSA-9706906,https://psa.{{baseurl}},https://cma-cgm.{{baseurl}},9706906
PSA-9839208,https://psa.{{baseurl}},https://cma-cgm.{{baseurl}},9839208
PSA-9839181,https://psa.{{baseurl}},https://cma-cgm.{{baseurl}},9839181
PSA-9737462,https://psa.{{baseurl}},https://evergreen-marine.{{baseurl}},9737462
PSA-9786827,https://psa.{{baseurl}},https://evergreen-marine.{{baseurl}},9786827
PSA-9667186,https://psa.{{baseurl}},https://evergreen-marine.{{baseurl}},9667186
PSA-9665592,https://psa.{{baseurl}},https://evergreen-marine.{{baseurl}},9665592
DCSA-ALL,https://dcsa.{{baseurl}},https://psa.{{baseurl}}
